Jahr	Bedarfsabklärung	Behandlungspflege	Grundpflege	Total
2011	15223 	99689 	225898 	340810 
2012	20990 	108860 	235759 	365609 
2013	24795 	122056 	251286 	398137 
2014	26601 	136282 	277725 	440608 
2015	26799 	140359 	286804 	453962 
2016	28347 	147508 	324721 	500576 
2017	29658 	157524 	332554 	519736 
2018	33238 	156102 	317321 	506661 
2019	34476 	157931 	316233 	508640 
2020	38784 	186298 	349294 	574376 
2021	40211 	194916 	354957 	590084 
2022	42649 	192448 	347132 	582229 
2023	45950 	193711 	358575 	598236 
2024	49151 	197561 	386670 	633382
