"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	4007	3927	-80
"5-9"	2538	2908	370
"10-14"	1606	2099	493
"15-19"	1487	2567	1080
"20-24"	6166	10563	4397
"25-29"	13025	19927	6902
"30-34"	14169	16659	2490
"35-39"	11119	11452	333
"40-44"	7266	7601	335
"45-49"	5180	5583	403
"50-54"	3687	3716	29
"55-59"	2389	2056	-333
"60-64"	1588	830	-758
"65-69"	1002	302	-700
"70-74"	381	144	-237
"75-79"	204	88	-116
"80-84"	124	48	-76
"85-89"	69	31	-38
"90-94"	20	8	-12
"95-99"	1	3	2
">99"	1	2	1

