Jahr	Schweiz	Ausland	Ausländeranteil (rechte Skala)	Total
1997	142279	51974	0.267558287388	194253
1998	140223	51898	0.270131843994	192121
1999	137808	52333	0.275232590551	190141
2000	136609	51972	0.275595102369	188581
2001	134825	52634	0.280776063032	187459
2002	133730	54285	0.288726963274	188015
2003	132756	55457	0.294650210134	188213
2004	131998	56479	0.299659905452	188477
2005	130726	57194	0.304352916134	187920
2006	129216	58576	0.311919570588	187792
2007	129082	58918	0.313393617021	188000
2008	129226	60330	0.318270062672	189556
2009	128639	62176	0.325844404265	190815
2010	128213	62586	0.328020587109	190799
2011	127981	64095	0.333696036985	192076
2012	127932	65527	0.338712595433	193459
2013	127907	67552	0.345607007096	195459
2014	127692	68779	0.350072020807	196471
2015	127617	69587	0.352868095981	197204
2016	127398	70808	0.357244483012	198206
