"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	4320	1916	-2404
"5-9"	2159	974	-1185
"10-14"	1285	660	-625
"15-19"	1590	2522	932
"20-24"	7493	13122	5629
"25-29"	14697	14500	-197
"30-34"	12329	8950	-3379
"35-39"	8264	5060	-3204
"40-44"	5349	3244	-2105
"45-49"	3976	2789	-1187
"50-54"	3012	2372	-640
"55-59"	2121	1586	-535
"60-64"	1581	1023	-558
"65-69"	995	713	-282
"70-74"	564	434	-130
"75-79"	316	350	34
">79"	538	536	-2

