"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	3477	1844	-1633
"5-9"	1579	1017	-562
"10-14"	971	704	-267
"15-19"	1522	2495	973
"20-24"	7467	12083	4616
"25-29"	12369	11645	-724
"30-34"	8229	6053	-2176
"35-39"	4674	3178	-1496
"40-44"	2981	2063	-918
"45-49"	2566	2010	-556
"50-54"	2483	2010	-473
"55-59"	2020	1519	-501
"60-64"	1795	1120	-675
"65-69"	1265	827	-438
"70-74"	667	499	-168
"75-79"	402	431	29
"80-84"	320	329	9
"85-89"	202	202	0
"90-94"	95	84	-11
"95-99"	34	15	-19
">99"	7	0	-7
